ioc,malicious_status,vendor_flagged,threat_names,categories,last_modification_date,times_submitted,first_submission_date,last_final_url,last_http_response_code,title
http://m3.wtf/,malicious,6,Mal/HTMLGen-A,compromised websites,2023-02-04,35,2016-07-25,https://www.m3.wtf/,200,Meaning Making Machine - M3.WTF
https://www.youtube.com/,non-malicious,0,none,social web - youtube,2023-03-15,51447,2011-01-01,https://m.youtube.com/,200,YouTube
